number,title,authors,source_venue,track,openreview_submission_number,decision,archival_status,paper_type,aclpubcheck_status,aclpubcheck_summary,openreview_url,pdf_path,supplementary_files,aclpubcheck_pdf_sha256,checked_at_utc
001,MedReason: Eliciting Factual Medical Reasoning Steps in LLMs via Knowledge Graphs,Juncheng Wu; Wenlong Deng; Xingxuan Li; Sheng Liu; Taomian Mi; Yifan Peng; Ziyang Xu; Yi Liu; Hyunjin Cho; Chang-In Choi; Yihan Cao; Hui Ren; Xiang Li; Xiaoxiao Li; Yuyin Zhou,EMNLP/2026/Workshop/GroundLM,Track 1: Direct Submission,2,Accept,archival,long,pass,All Clear!,https://openreview.net/forum?id=S27mV5JKUx,all_papers/001/paper.pdf,,fbab285b19cc934ed8509b82b520a21423e238719cfa34d1d4ead864a231c883,2026-09-23T14:29:01Z
002,AAgiSphere-CORE: A Multi-Dimensional Co-Optimization Framework for Autonomous Prescriptive Maintenance in Smart Manufacturing,Pinghao Luo; Zhiguo Tao,EMNLP/2026/Workshop/GroundLM,Track 1: Direct Submission,3,Accept,archival,long,pass,All Clear!,https://openreview.net/forum?id=INfALI5FPO,all_papers/002/paper.pdf,,0f2f4aeb21c4757d256917c32d08210ee1031ced59024b9412f77d468b3cfa6c,2026-09-23T14:29:05Z
003,"MSRA: A Parameter-Efficient Spectral Correction for Local Attention — Where It Helps, and Where It Fails",TianZihan,EMNLP/2026/Workshop/GroundLM,Track 1: Direct Submission,4,Findings,archival,long,pass,All Clear!,https://openreview.net/forum?id=CQ482Y2xBa,all_papers/003/paper.pdf,all_papers/003/supplementary/Supplementary_material.zip,24ec5e1f9431ae496cc75428012a73a042f7557814b3ac725241bce7890d67f3,2026-09-23T21:35:02Z
004,Trust-Aware Multi-Axis Reliability Auditing for NLP Classifiers: A Theoretical and Empirical Framework,Noor Islam S. Mohammad,EMNLP/2026/Workshop/GroundLM,Track 1: Direct Submission,6,Findings,archival,long,pass,All Clear!,https://openreview.net/forum?id=hQIS26bkLh,all_papers/004/paper.pdf,all_papers/004/supplementary/Supplementary_material.pdf,d52103d4c2c43f00fd81ca3643c9ede1c7441f280be788fff9727a6423746b40,2026-09-23T14:29:14Z
005,VERITYGATE: A Four-Gate Schema-Level Faithfulness Framework and Paired Benchmark for Grounded LLM Narrations over Structured Evidence,Sachin Gupta,EMNLP/2026/Workshop/GroundLM,Track 1: Direct Submission,7,Accept,archival,long,pass,All Clear!,https://openreview.net/forum?id=n9B8kcEZzP,all_papers/005/paper.pdf,all_papers/005/supplementary/Supplementary_material.zip,13dcbbde864e309c288fd61372ed4e8a6f0cec66c7ac62e7efa39214df30b267,2026-09-23T14:29:19Z
006,EVO-RAG: Evolving Retrieval-Augmented Agents for Efficient Multi-Hop Query Optimization,Yuelyu Ji; Rui Meng; Zhuochun Li; Daqing He,EMNLP/2026/Workshop/GroundLM,Track 1: Direct Submission,8,Accept,archival,long,pass,All Clear!,https://openreview.net/forum?id=E4YVoT3IuI,all_papers/006/paper.pdf,,0f06ae6227e5ec13b35989f190483eaabc65c2813bbdb7691831de2dc90b892d,2026-09-24T23:18:14Z
007,Retrieval–Reasoning Processes for Multi-hop Question Answering: A Four-Axis Design Framework and Empirical Trends,Yuelyu Ji; Zhuochun Li; Rui Meng; Daqing He,EMNLP/2026/Workshop/GroundLM,Track 1: Direct Submission,9,Accept,archival,long,pass,All Clear!,https://openreview.net/forum?id=qehXtMNcr0,all_papers/007/paper.pdf,,6e7655e82bd35cc59aa7e44dc0c619421c09450d8ab98d434e8a64de5c279a77,2026-09-24T23:18:19Z
008,Do Language Models Honor Their Own Definitions? Measuring Definition–Application Consistency,R S Pavithra,EMNLP/2026/Workshop/GroundLM,Track 1: Direct Submission,10,Findings,archival,long,fail,We detected 923 errors and 0 warnings in your paper. | Error (Margin): Text on page 1 bleeds into the left margin.,https://openreview.net/forum?id=47QayY5613,all_papers/008/paper.pdf,,e03fcb561ee2c1dc973a177e7a08221aa2f581e16f77d22f30c8aab7c2078683,2026-09-23T14:29:45Z
009,SkillNav: A Multi-Agent Blackboard for Hallucination-Resistant Zero-Shot Object Navigation,Zhi Yang; Chengpu Yu; Yipin Zheng,EMNLP/2026/Workshop/GroundLM,Track 1: Direct Submission,11,Accept,archival,short,pass,All Clear!,https://openreview.net/forum?id=PE0s60Ul78,all_papers/009/paper.pdf,all_papers/009/supplementary/Supplementary_material.zip,314b1fedcfe2eff0c1c8e84c59afacf0b47633a65caaf1b0683acea34dbca51e,2026-09-23T14:29:49Z
010,Riemannian Geometry for Pre-trained Language Model Embeddings,Szczepan Konior; Alexandre Quemy; Przemysław Klocek; Bartlomiej Sobieski; Grégoire Cattan,EMNLP/2026/Workshop/GroundLM,Track 1: Direct Submission,13,Accept,archival,long,pass,All Clear!,https://openreview.net/forum?id=afqK8YeXQ7,all_papers/010/paper.pdf,,590f9626c45c0f3eb1a91c4cc7468d1c02987f2f9e5f050329a0aa3fd2cec387,2026-09-23T14:29:55Z
